array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
218.0,184.0,172.0,54.0,72.0,80.0,215.0,227
114.0,119.0,90.0,128.0,244.0,110.0,244.0,128
131.0,21.0,58.0,4.0,107.0,59.0,249.0,130
112.0,163.0,246.0,196.0,50.0,217.0,213.0,92
140.0,70.0,22.0,222.0,251.0,255.0,162.0,194
221.0,60.0,24.0,164.0,144.0,168.0,126.0,41
162.0,137.0,127.0,51.0,107.0,35.0,221.0,34
81.0,171.0,74.0,47.0,24.0,187.0,116.0,239
138.0,10.0,217.0,143.0,100.0,93.0,127.0,112
129.0,254.0,179.0,47.0,200.0,132.0,13.0,192
56.0,144.0,66.0,132.0,73.0,142.0,111.0,98
87.0,253.0,64.0,85.0,134.0,41.0,185.0,252
239.0,57.0,50.0,157.0,0.0,215.0,40.0,174
163.0,131.0,40.0,84.0,54.0,59.0,112.0,86
62.0,51.0,177.0,228.0,31.0,109.0,172.0,7
12.0,74.0,194.0,172.0,11.0,117.0,214.0,153
134.0,42.0,75.0,222.0,32.0,173.0,82.0,21
67.0,44.0,155.0,96.0,229.0,210.0,46.0,80
78.0,175.0,255.0,50.0,109.0,177.0,27.0,66
144.0,112.0,108.0,59.0,59.0,76.0,145.0,72
139.0,192.0,92.0,253.0,111.0,117.0,108.0,194
75.0,238.0,167.0,42.0,75.0,215.0,120.0,177
194.0,129.0,71.0,138.0,1.0,253.0,255.0,28
105.0,216.0,11.0,164.0,39.0,33.0,85.0,15
182.0,121.0,54.0,192.0,232.0,66.0,204.0,148
82.0,205.0,109.0,56.0,29.0,99.0,98.0,210
63.0,145.0,37.0,127.0,4.0,39.0,144.0,12
224.0,227.0,90.0,32.0,170.0,136.0,171.0,165
242.0,204.0,38.0,126.0,235.0,240.0,154.0,142
192.0,107.0,32.0,230.0,241.0,183.0,139.0,189
243.0,14.0,1.0,156.0,28.0,194.0,213.0,93
74.0,155.0,241.0,172.0,88.0,200.0,179.0,222
203.0,94.0,191.0,251.0,255.0,70.0,243.0,238
132.0,170.0,55.0,32.0,214.0,218.0,250.0,108
246.0,122.0,33.0,203.0,66.0,150.0,233.0,221
124.0,136.0,83.0,151.0,209.0,1.0,219.0,170
218.0,5.0,115.0,108.0,199.0,137.0,80.0,154
78.0,172.0,41.0,15.0,180.0,144.0,173.0,45
248.0,11.0,183.0,134.0,161.0,115.0,254.0,149
41.0,220.0,78.0,123.0,134.0,36.0,56.0,215
172.0,106.0,223.0,34.0,16.0,218.0,81.0,23
154.0,4.0,127.0,235.0,88.0,86.0,104.0,40
66.0,1.0,171.0,148.0,98.0,86.0,45.0,233
250.0,215.0,212.0,156.0,112.0,88.0,211.0,93
32.0,25.0,216.0,91.0,40.0,79.0,166.0,20
58.0,30.0,242.0,105.0,186.0,26.0,110.0,114
205.0,55.0,255.0,34.0,174.0,195.0,159.0,132
144.0,219.0,41.0,171.0,140.0,162.0,167.0,187
169.0,3.0,239.0,225.0,54.0,192.0,185.0,4
209.0,182.0,27.0,43.0,105.0,238.0,174.0,173
41.0,254.0,243.0,181.0,87.0,5.0,59.0,66
143.0,95.0,11.0,228.0,152.0,66.0,89.0,193
121.0,76.0,16.0,1.0,239.0,142.0,7.0,216
193.0,81.0,47.0,161.0,120.0,27.0,166.0,28
202.0,175.0,155.0,179.0,70.0,124.0,236.0,29
206.0,65.0,29.0,86.0,236.0,139.0,108.0,248
58.0,17.0,25.0,253.0,28.0,33.0,222.0,252
114.0,65.0,29.0,162.0,139.0,75.0,194.0,238
