array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
234.0,58.0,179.0,28.0,172.0,103.0,189.0,76
209.0,120.0,8.0,85.0,112.0,135.0,232.0,242
152.0,11.0,177.0,38.0,68.0,74.0,228.0,58
47.0,218.0,59.0,106.0,59.0,156.0,130.0,9
237.0,69.0,244.0,68.0,245.0,224.0,238.0,146
222.0,228.0,174.0,39.0,166.0,239.0,95.0,112
230.0,40.0,114.0,77.0,128.0,45.0,131.0,165
29.0,26.0,201.0,191.0,145.0,154.0,216.0,223
72.0,29.0,37.0,171.0,161.0,104.0,241.0,159
126.0,201.0,9.0,106.0,206.0,188.0,160.0,232
185.0,153.0,11.0,242.0,152.0,166.0,180.0,25
104.0,38.0,18.0,222.0,20.0,34.0,202.0,222
167.0,100.0,182.0,154.0,236.0,247.0,175.0,160
185.0,43.0,22.0,46.0,130.0,171.0,227.0,182
129.0,28.0,40.0,244.0,34.0,228.0,223.0,41
159.0,23.0,195.0,117.0,107.0,10.0,185.0,114
80.0,226.0,151.0,60.0,1.0,65.0,148.0,29
156.0,7.0,224.0,26.0,111.0,185.0,236.0,209
230.0,54.0,28.0,223.0,77.0,240.0,57.0,105
58.0,97.0,52.0,35.0,140.0,109.0,153.0,61
2.0,31.0,137.0,148.0,12.0,129.0,86.0,188
30.0,109.0,201.0,70.0,144.0,3.0,234.0,157
123.0,247.0,85.0,15.0,28.0,17.0,224.0,148
189.0,126.0,94.0,99.0,198.0,141.0,60.0,187
254.0,57.0,196.0,226.0,250.0,46.0,69.0,191
101.0,107.0,175.0,9.0,122.0,250.0,157.0,167
32.0,135.0,58.0,81.0,221.0,159.0,100.0,3
83.0,46.0,202.0,85.0,228.0,106.0,255.0,171
8.0,76.0,126.0,239.0,47.0,220.0,221.0,18
189.0,190.0,184.0,109.0,229.0,115.0,65.0,37
1.0,9.0,122.0,187.0,92.0,185.0,53.0,5
188.0,84.0,70.0,142.0,55.0,62.0,192.0,253
102.0,60.0,80.0,62.0,2.0,251.0,69.0,249
191.0,5.0,173.0,142.0,110.0,252.0,170.0,14
139.0,164.0,135.0,23.0,247.0,174.0,223.0,49
186.0,204.0,92.0,180.0,178.0,165.0,14.0,11
24.0,246.0,52.0,26.0,11.0,120.0,39.0,108
253.0,153.0,78.0,128.0,162.0,68.0,112.0,241
251.0,171.0,207.0,15.0,157.0,117.0,58.0,61
216.0,44.0,181.0,133.0,106.0,238.0,39.0,141
