array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
111.0,34.0,143.0,134.0,136.0,18.0,123.0,231
186.0,22.0,101.0,229.0,48.0,240.0,139.0,236
123.0,77.0,45.0,2.0,14.0,107.0,104.0,138
131.0,222.0,82.0,9.0,253.0,129.0,76.0,67
100.0,119.0,191.0,80.0,134.0,66.0,147.0,199
8.0,5.0,23.0,160.0,102.0,101.0,202.0,169
63.0,83.0,48.0,68.0,27.0,255.0,19.0,251
111.0,176.0,127.0,182.0,42.0,5.0,27.0,109
70.0,39.0,20.0,37.0,79.0,51.0,58.0,65
231.0,192.0,95.0,61.0,126.0,168.0,125.0,97
203.0,218.0,82.0,130.0,114.0,30.0,139.0,12
204.0,210.0,239.0,177.0,77.0,164.0,183.0,188
17.0,205.0,120.0,50.0,97.0,171.0,151.0,54
158.0,231.0,237.0,7.0,111.0,85.0,17.0,251
1.0,44.0,56.0,18.0,21.0,104.0,22.0,241
236.0,15.0,118.0,139.0,148.0,112.0,220.0,78
33.0,90.0,154.0,159.0,1.0,219.0,56.0,48
238.0,84.0,69.0,25.0,144.0,131.0,229.0,246
54.0,71.0,60.0,192.0,255.0,224.0,51.0,34
232.0,46.0,177.0,175.0,139.0,255.0,251.0,161
186.0,145.0,106.0,24.0,56.0,189.0,157.0,137
24.0,189.0,12.0,25.0,43.0,138.0,165.0,83
214.0,217.0,167.0,15.0,93.0,182.0,72.0,48
233.0,133.0,96.0,18.0,76.0,74.0,227.0,59
90.0,112.0,5.0,203.0,229.0,102.0,46.0,12
141.0,201.0,240.0,140.0,176.0,230.0,48.0,118
186.0,25.0,188.0,4.0,190.0,41.0,116.0,85
145.0,204.0,155.0,58.0,14.0,176.0,143.0,8
81.0,136.0,140.0,201.0,214.0,112.0,202.0,71
28.0,97.0,250.0,97.0,202.0,227.0,121.0,78
165.0,113.0,87.0,237.0,214.0,212.0,77.0,47
35.0,52.0,155.0,234.0,218.0,155.0,159.0,253
215.0,40.0,181.0,177.0,227.0,68.0,149.0,96
78.0,66.0,249.0,30.0,6.0,234.0,252.0,122
111.0,179.0,1.0,182.0,206.0,65.0,223.0,142
70.0,161.0,147.0,221.0,143.0,87.0,12.0,243
37.0,191.0,104.0,149.0,151.0,60.0,161.0,175
34.0,245.0,244.0,190.0,126.0,179.0,162.0,103
144.0,12.0,189.0,162.0,55.0,231.0,171.0,134
171.0,27.0,83.0,242.0,120.0,79.0,172.0,169
137.0,111.0,86.0,194.0,11.0,100.0,73.0,210
219.0,243.0,144.0,232.0,116.0,226.0,176.0,37
26.0,130.0,219.0,193.0,159.0,250.0,3.0,237
198.0,16.0,23.0,102.0,175.0,217.0,205.0,235
246.0,157.0,129.0,156.0,67.0,51.0,41.0,77
224.0,140.0,2.0,136.0,220.0,235.0,145.0,3
183.0,37.0,1.0,254.0,17.0,42.0,185.0,227
164.0,229.0,247.0,173.0,31.0,188.0,123.0,80
97.0,20.0,121.0,29.0,85.0,113.0,45.0,26
20.0,192.0,200.0,207.0,45.0,4.0,46.0,173
29.0,138.0,82.0,58.0,153.0,52.0,181.0,141
80.0,233.0,254.0,143.0,207.0,157.0,193.0,156
249.0,239.0,132.0,174.0,126.0,43.0,130.0,178
11.0,221.0,252.0,73.0,141.0,130.0,142.0,92
57.0,166.0,153.0,182.0,186.0,58.0,149.0,21
140.0,19.0,37.0,26.0,226.0,89.0,29.0,50
17.0,108.0,135.0,211.0,106.0,222.0,2.0,54
120.0,124.0,70.0,31.0,75.0,222.0,46.0,218
247.0,187.0,16.0,190.0,172.0,40.0,129.0,16
63.0,151.0,192.0,56.0,157.0,255.0,76.0,96
192.0,156.0,117.0,133.0,239.0,35.0,3.0,128
183.0,32.0,202.0,182.0,25.0,29.0,72.0,94
81.0,116.0,61.0,84.0,66.0,205.0,213.0,243
12.0,32.0,47.0,59.0,205.0,168.0,33.0,211
,3.0,151.0,31.0,195.0,231.0,252.0,158
,165.0,221.0,29.0,215.0,166.0,201.0,101
,122.0,28.0,215.0,199.0,78.0,144.0,157
,182.0,147.0,120.0,188.0,179.0,100.0,6
,19.0,156.0,79.0,90.0,26.0,32.0,249
,68.0,244.0,252.0,118.0,200.0,5.0,25
,163.0,37.0,113.0,162.0,176.0,103.0,86
,192.0,158.0,1.0,119.0,122.0,115.0,172
,129.0,211.0,217.0,141.0,1.0,21.0,223
,1.0,11.0,227.0,61.0,36.0,237.0,248
,110.0,14.0,143.0,206.0,59.0,69.0,84
,51.0,217.0,129.0,49.0,147.0,155.0,188
,158.0,159.0,134.0,168.0,31.0,45.0,3
,30.0,1.0,138.0,209.0,208.0,91.0,230
,157.0,112.0,80.0,92.0,234.0,231.0,165
,227.0,251.0,66.0,152.0,129.0,28.0,187
,179.0,85.0,111.0,7.0,81.0,76.0,183
,134.0,119.0,99.0,159.0,215.0,77.0,2
,160.0,3.0,5.0,215.0,107.0,233.0,155
,111.0,75.0,11.0,162.0,196.0,158.0,129
,195.0,113.0,93.0,118.0,219.0,29.0,210
,232.0,36.0,188.0,250.0,88.0,186.0,130
,169.0,27.0,251.0,43.0,214.0,200.0,204
,18.0,156.0,206.0,197.0,184.0,31.0,249
,162.0,241.0,46.0,179.0,92.0,220.0,133
,230.0,220.0,234.0,136.0,64.0,250.0,212
