array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
46.0,16.0,183.0,255.0,129.0,142.0,170.0,248
241.0,114.0,95.0,4.0,51.0,71.0,8.0,124
95.0,190.0,61.0,178.0,75.0,144.0,214.0,105
103.0,213.0,72.0,138.0,168.0,154.0,166.0,166
49.0,64.0,91.0,147.0,123.0,116.0,115.0,237
205.0,158.0,54.0,244.0,106.0,136.0,175.0,42
219.0,207.0,130.0,152.0,121.0,210.0,228.0,223
16.0,119.0,20.0,93.0,227.0,117.0,130.0,47
78.0,103.0,208.0,3.0,204.0,183.0,181.0,87
85.0,204.0,170.0,68.0,21.0,65.0,114.0,15
157.0,238.0,31.0,56.0,48.0,139.0,57.0,172
51.0,100.0,39.0,122.0,9.0,56.0,253.0,10
208.0,54.0,29.0,198.0,40.0,3.0,188.0,228
65.0,214.0,113.0,143.0,100.0,192.0,105.0,38
99.0,237.0,10.0,1.0,207.0,211.0,192.0,99
14.0,36.0,5.0,178.0,28.0,192.0,209.0,30
240.0,107.0,244.0,209.0,237.0,13.0,242.0,99
197.0,208.0,10.0,126.0,103.0,103.0,8.0,29
22.0,194.0,52.0,250.0,233.0,35.0,94.0,163
35.0,197.0,37.0,200.0,171.0,109.0,16.0,40
39.0,119.0,223.0,28.0,135.0,128.0,150.0,144
231.0,200.0,157.0,222.0,55.0,31.0,129.0,29
209.0,56.0,213.0,103.0,209.0,55.0,74.0,18
170.0,99.0,117.0,17.0,93.0,72.0,143.0,175
234.0,44.0,192.0,114.0,28.0,233.0,132.0,157
238.0,71.0,183.0,88.0,17.0,56.0,49.0,199
77.0,254.0,160.0,249.0,192.0,19.0,106.0,200
55.0,223.0,16.0,208.0,187.0,226.0,13.0,198
231.0,164.0,100.0,101.0,139.0,29.0,80.0,215
156.0,105.0,235.0,47.0,86.0,83.0,179.0,228
112.0,68.0,16.0,138.0,175.0,149.0,205.0,157
111.0,101.0,137.0,120.0,16.0,128.0,92.0,115
111.0,226.0,163.0,243.0,247.0,84.0,97.0,174
184.0,42.0,233.0,215.0,131.0,87.0,176.0,231
42.0,208.0,119.0,83.0,85.0,105.0,193.0,128
83.0,74.0,225.0,52.0,37.0,160.0,62.0,130
105.0,126.0,138.0,131.0,185.0,124.0,106.0,255
