array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
150.0,66.0,113.0,45.0,71.0,160.0,119.0,36
245.0,70.0,82.0,92.0,210.0,240.0,20.0,89
59.0,99.0,210.0,17.0,51.0,199.0,165.0,79
157.0,24.0,249.0,23.0,187.0,134.0,123.0,191
10.0,59.0,125.0,231.0,153.0,185.0,105.0,222
235.0,179.0,102.0,74.0,238.0,65.0,29.0,198
236.0,63.0,127.0,96.0,196.0,137.0,129.0,63
205.0,249.0,240.0,128.0,118.0,200.0,165.0,144
188.0,161.0,152.0,96.0,71.0,67.0,194.0,80
148.0,103.0,53.0,96.0,75.0,121.0,168.0,250
85.0,65.0,52.0,94.0,81.0,44.0,190.0,188
49.0,5.0,185.0,108.0,137.0,104.0,158.0,70
252.0,48.0,251.0,60.0,248.0,53.0,159.0,202
20.0,38.0,255.0,85.0,82.0,71.0,56.0,5
35.0,252.0,175.0,79.0,191.0,195.0,227.0,116
48.0,44.0,237.0,162.0,137.0,180.0,63.0,15
242.0,95.0,71.0,217.0,216.0,23.0,94.0,51
39.0,234.0,1.0,156.0,146.0,132.0,250.0,186
25.0,184.0,135.0,134.0,140.0,195.0,71.0,113
225.0,110.0,58.0,8.0,57.0,111.0,152.0,17
172.0,6.0,214.0,10.0,20.0,112.0,223.0,168
211.0,177.0,31.0,13.0,39.0,203.0,157.0,204
162.0,65.0,213.0,249.0,7.0,197.0,246.0,2
66.0,117.0,229.0,37.0,168.0,113.0,197.0,212
230.0,247.0,140.0,89.0,119.0,152.0,147.0,119
210.0,252.0,226.0,10.0,125.0,182.0,135.0,201
114.0,105.0,135.0,233.0,164.0,110.0,0.0,142
100.0,243.0,134.0,28.0,239.0,188.0,57.0,144
154.0,202.0,193.0,244.0,93.0,31.0,219.0,206
152.0,81.0,24.0,166.0,30.0,128.0,244.0,23
31.0,100.0,147.0,125.0,95.0,219.0,163.0,62
194.0,247.0,70.0,19.0,108.0,250.0,120.0,180
201.0,111.0,168.0,148.0,148.0,131.0,188.0,100
7.0,182.0,67.0,75.0,219.0,60.0,51.0,63
146.0,160.0,214.0,126.0,81.0,95.0,90.0,108
29.0,186.0,1.0,210.0,189.0,94.0,108.0,4
109.0,64.0,122.0,43.0,172.0,182.0,191.0,217
182.0,236.0,27.0,177.0,148.0,31.0,168.0,250
176.0,115.0,60.0,160.0,22.0,152.0,238.0,132
45.0,16.0,210.0,125.0,155.0,195.0,229.0,212
150.0,46.0,248.0,62.0,72.0,49.0,163.0,59
198.0,131.0,92.0,76.0,162.0,59.0,154.0,181
106.0,205.0,239.0,205.0,172.0,187.0,139.0,207
141.0,119.0,33.0,163.0,209.0,181.0,147.0,13
10.0,32.0,203.0,71.0,185.0,119.0,154.0,128
217.0,68.0,45.0,75.0,88.0,111.0,36.0,203
130.0,245.0,8.0,29.0,192.0,100.0,144.0,186
184.0,250.0,214.0,199.0,80.0,143.0,222.0,171
112.0,15.0,110.0,126.0,193.0,74.0,236.0,12
237.0,219.0,204.0,82.0,190.0,192.0,16.0,161
169.0,78.0,240.0,44.0,99.0,130.0,5.0,39
24.0,147.0,181.0,244.0,181.0,144.0,85.0,128
56.0,208.0,5.0,16.0,225.0,189.0,4.0,121
81.0,242.0,151.0,59.0,112.0,42.0,120.0,145
185.0,172.0,97.0,183.0,200.0,204.0,29.0,206
184.0,102.0,140.0,29.0,242.0,71.0,178.0,151
114.0,50.0,114.0,119.0,173.0,55.0,156.0,30
108.0,247.0,236.0,17.0,162.0,54.0,235.0,202
212.0,130.0,58.0,239.0,61.0,213.0,95.0,226
36.0,88.0,58.0,192.0,253.0,93.0,209.0,168
53.0,248.0,209.0,221.0,155.0,218.0,100.0,14
162.0,108.0,237.0,160.0,155.0,37.0,152.0,231
129.0,57.0,234.0,16.0,57.0,105.0,148.0,243
50.0,106.0,26.0,200.0,22.0,133.0,152.0,138
,227.0,117.0,186.0,166.0,76.0,233.0,133
,240.0,74.0,81.0,40.0,138.0,143.0,100
,84.0,79.0,104.0,241.0,109.0,77.0,198
,139.0,140.0,82.0,33.0,95.0,98.0,94
,87.0,200.0,225.0,26.0,167.0,27.0,113
,53.0,200.0,198.0,62.0,139.0,193.0,248
,8.0,43.0,76.0,210.0,188.0,74.0,5
,117.0,105.0,53.0,173.0,233.0,149.0,117
,212.0,7.0,191.0,197.0,162.0,193.0,17
,157.0,41.0,118.0,68.0,36.0,210.0,26
,188.0,11.0,154.0,63.0,80.0,40.0,139
,176.0,216.0,67.0,233.0,134.0,223.0,63
,63.0,10.0,155.0,221.0,248.0,203.0,166
,250.0,92.0,216.0,180.0,64.0,40.0,86
,166.0,171.0,62.0,24.0,182.0,40.0,113
,107.0,25.0,144.0,211.0,144.0,65.0,112
,149.0,174.0,146.0,186.0,195.0,232.0,238
,191.0,86.0,134.0,91.0,217.0,181.0,103
,185.0,66.0,253.0,187.0,153.0,244.0,196
,223.0,231.0,102.0,54.0,81.0,72.0,51
,167.0,77.0,197.0,207.0,70.0,251.0,56
,140.0,87.0,6.0,161.0,194.0,70.0,78
,229.0,154.0,193.0,12.0,158.0,215.0,88
,222.0,14.0,33.0,49.0,11.0,220.0,49
,199.0,84.0,61.0,177.0,196.0,60.0,209
,190.0,6.0,1.0,101.0,214.0,23.0,147
,114.0,164.0,229.0,231.0,30.0,250.0,68
,231.0,130.0,89.0,239.0,80.0,2.0,240
,15.0,188.0,113.0,249.0,142.0,20.0,173
,135.0,241.0,30.0,249.0,12.0,36.0,9
,215.0,181.0,149.0,234.0,219.0,178.0,213
,148.0,39.0,105.0,209.0,124.0,158.0,93
,13.0,123.0,145.0,53.0,197.0,5.0,130
,113.0,233.0,190.0,158.0,66.0,35.0,237
,15.0,14.0,65.0,188.0,98.0,45.0,192
,4.0,125.0,227.0,0.0,83.0,89.0,5
,38.0,233.0,24.0,228.0,181.0,221.0,138
,209.0,199.0,112.0,247.0,112.0,180.0,210
,65.0,244.0,38.0,216.0,139.0,207.0,35
,66.0,3.0,27.0,154.0,194.0,156.0,215
,180.0,169.0,178.0,186.0,222.0,134.0,170
,98.0,184.0,39.0,79.0,49.0,155.0,52
,151.0,254.0,20.0,39.0,41.0,95.0,135
,243.0,201.0,94.0,141.0,154.0,192.0,204
,94.0,164.0,219.0,77.0,26.0,231.0,205
,126.0,91.0,20.0,35.0,164.0,36.0,146
,105.0,40.0,219.0,125.0,128.0,253.0,6
,57.0,241.0,140.0,54.0,37.0,197.0,9
,198.0,18.0,199.0,180.0,106.0,106.0,34
,37.0,148.0,21.0,172.0,162.0,53.0,26
,134.0,160.0,238.0,8.0,143.0,136.0,244
