array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
132.0,49.0,68.0,117.0,226.0,127.0,244.0,92
129.0,242.0,185.0,151.0,132.0,216.0,181.0,103
145.0,132.0,101.0,88.0,227.0,235.0,83.0,11
56.0,195.0,117.0,139.0,143.0,29.0,152.0,214
123.0,196.0,164.0,204.0,63.0,45.0,167.0,184
48.0,225.0,194.0,119.0,195.0,21.0,94.0,166
143.0,56.0,114.0,7.0,5.0,250.0,92.0,200
124.0,128.0,116.0,30.0,171.0,130.0,56.0,14
100.0,250.0,103.0,83.0,8.0,113.0,157.0,233
243.0,19.0,50.0,165.0,19.0,130.0,198.0,191
154.0,254.0,229.0,20.0,163.0,85.0,175.0,251
206.0,18.0,122.0,97.0,132.0,162.0,71.0,41
142.0,33.0,78.0,212.0,249.0,239.0,230.0,7
83.0,179.0,18.0,140.0,139.0,231.0,7.0,54
19.0,49.0,31.0,91.0,213.0,32.0,225.0,195
162.0,211.0,29.0,22.0,244.0,138.0,77.0,32
45.0,111.0,136.0,253.0,255.0,90.0,197.0,30
87.0,51.0,141.0,144.0,249.0,220.0,233.0,217
52.0,253.0,190.0,196.0,123.0,35.0,195.0,3
207.0,196.0,122.0,145.0,94.0,92.0,67.0,122
24.0,219.0,104.0,90.0,18.0,144.0,16.0,253
207.0,166.0,74.0,203.0,73.0,160.0,153.0,25
114.0,3.0,1.0,85.0,7.0,122.0,151.0,25
174.0,194.0,21.0,207.0,41.0,26.0,204.0,126
115.0,54.0,162.0,17.0,239.0,185.0,70.0,245
146.0,227.0,213.0,87.0,24.0,220.0,122.0,249
19.0,152.0,175.0,152.0,255.0,213.0,176.0,228
164.0,57.0,218.0,227.0,168.0,221.0,16.0,116
103.0,48.0,2.0,85.0,166.0,210.0,44.0,181
48.0,158.0,19.0,167.0,229.0,41.0,23.0,221
200.0,73.0,68.0,190.0,172.0,176.0,57.0,183
110.0,169.0,165.0,76.0,174.0,212.0,121.0,7
197.0,95.0,99.0,1.0,81.0,248.0,110.0,217
245.0,136.0,25.0,20.0,142.0,43.0,251.0,244
244.0,224.0,151.0,232.0,178.0,201.0,193.0,36
142.0,89.0,145.0,36.0,133.0,103.0,98.0,51
204.0,189.0,8.0,112.0,213.0,98.0,33.0,79
31.0,75.0,88.0,244.0,52.0,28.0,227.0,238
108.0,63.0,55.0,72.0,35.0,20.0,121.0,128
117.0,115.0,54.0,253.0,217.0,208.0,76.0,19
190.0,44.0,32.0,114.0,58.0,214.0,189.0,248
188.0,94.0,105.0,15.0,234.0,164.0,119.0,181
143.0,221.0,36.0,135.0,101.0,182.0,220.0,21
221.0,72.0,179.0,177.0,57.0,145.0,240.0,59
134.0,86.0,170.0,239.0,154.0,200.0,200.0,233
6.0,198.0,255.0,71.0,161.0,90.0,95.0,182
96.0,110.0,234.0,190.0,5.0,17.0,111.0,54
25.0,230.0,226.0,168.0,82.0,180.0,219.0,52
213.0,42.0,232.0,7.0,51.0,51.0,163.0,194
212.0,21.0,100.0,92.0,102.0,100.0,20.0,9
19.0,125.0,148.0,143.0,70.0,117.0,226.0,100
100.0,87.0,250.0,72.0,83.0,93.0,12.0,102
20.0,45.0,85.0,222.0,249.0,247.0,128.0,108
248.0,236.0,67.0,206.0,73.0,219.0,129.0,186
131.0,160.0,190.0,51.0,212.0,90.0,28.0,159
123.0,65.0,146.0,200.0,139.0,190.0,220.0,37
140.0,191.0,56.0,232.0,191.0,206.0,113.0,105
148.0,102.0,77.0,103.0,252.0,234.0,100.0,29
182.0,165.0,47.0,155.0,157.0,70.0,58.0,100
52.0,168.0,79.0,244.0,9.0,46.0,235.0,48
94.0,156.0,54.0,69.0,77.0,114.0,87.0,212
221.0,185.0,104.0,242.0,246.0,163.0,134.0,93
53.0,115.0,141.0,194.0,95.0,171.0,183.0,66
154.0,171.0,151.0,139.0,19.0,238.0,218.0,67
,157.0,223.0,25.0,165.0,48.0,43.0,84
,112.0,229.0,222.0,15.0,108.0,14.0,1
,238.0,185.0,155.0,26.0,193.0,65.0,116
,112.0,116.0,249.0,207.0,227.0,71.0,62
,231.0,45.0,23.0,189.0,116.0,21.0,54
,124.0,143.0,29.0,246.0,29.0,206.0,14
,57.0,255.0,233.0,97.0,251.0,247.0,26
,209.0,89.0,109.0,152.0,228.0,6.0,37
,66.0,76.0,110.0,132.0,164.0,225.0,199
,250.0,52.0,164.0,122.0,111.0,98.0,29
