array_0,array_1,array_2,array_3,array_4,array_5,array_6,array_7
248.0,38.0,162.0,251.0,33.0,222.0,43.0,76
246.0,38.0,241.0,164.0,109.0,1.0,51.0,27
180.0,136.0,185.0,231.0,183.0,176.0,189.0,206
245.0,179.0,98.0,124.0,31.0,17.0,238.0,68
208.0,92.0,103.0,75.0,127.0,87.0,234.0,205
132.0,228.0,176.0,197.0,64.0,152.0,224.0,200
33.0,180.0,133.0,132.0,10.0,38.0,201.0,214
233.0,26.0,68.0,40.0,217.0,23.0,114.0,123
142.0,125.0,31.0,129.0,216.0,115.0,155.0,206
204.0,20.0,107.0,218.0,255.0,199.0,24.0,145
62.0,1.0,230.0,211.0,36.0,167.0,143.0,152
19.0,143.0,0.0,255.0,184.0,77.0,110.0,164
71.0,218.0,131.0,222.0,135.0,151.0,190.0,147
200.0,22.0,155.0,144.0,19.0,58.0,22.0,72
169.0,55.0,77.0,20.0,245.0,118.0,0.0,57
178.0,16.0,216.0,135.0,189.0,57.0,214.0,178
243.0,39.0,189.0,230.0,89.0,9.0,190.0,249
121.0,219.0,253.0,72.0,246.0,2.0,52.0,85
94.0,58.0,42.0,232.0,164.0,244.0,215.0,243
186.0,31.0,58.0,168.0,165.0,255.0,186.0,107
153.0,228.0,250.0,122.0,2.0,6.0,143.0,95
218.0,79.0,90.0,9.0,153.0,29.0,98.0,71
1.0,3.0,248.0,217.0,222.0,171.0,238.0,0
31.0,111.0,48.0,144.0,118.0,198.0,242.0,16
167.0,164.0,61.0,194.0,211.0,20.0,143.0,141
237.0,49.0,98.0,169.0,224.0,254.0,211.0,230
141.0,50.0,229.0,248.0,180.0,156.0,198.0,140
17.0,225.0,35.0,133.0,188.0,118.0,250.0,126
198.0,187.0,5.0,40.0,52.0,109.0,23.0,48
32.0,53.0,227.0,70.0,15.0,215.0,198.0,116
238.0,149.0,134.0,112.0,61.0,115.0,35.0,63
37.0,18.0,8.0,215.0,78.0,56.0,104.0,255
136.0,84.0,116.0,137.0,231.0,13.0,136.0,114
190.0,98.0,60.0,157.0,173.0,5.0,81.0,172
235.0,109.0,190.0,137.0,216.0,197.0,240.0,159
134.0,35.0,78.0,164.0,136.0,51.0,105.0,199
228.0,3.0,134.0,136.0,200.0,6.0,158.0,195
116.0,5.0,11.0,179.0,145.0,225.0,209.0,184
48.0,118.0,172.0,109.0,239.0,215.0,176.0,155
232.0,82.0,121.0,179.0,229.0,234.0,0.0,173
213.0,84.0,119.0,106.0,238.0,192.0,120.0,84
105.0,156.0,6.0,218.0,230.0,91.0,118.0,102
155.0,122.0,130.0,34.0,29.0,120.0,33.0,153
138.0,252.0,75.0,172.0,141.0,65.0,102.0,4
120.0,136.0,124.0,70.0,254.0,248.0,110.0,19
79.0,18.0,74.0,138.0,168.0,167.0,129.0,200
65.0,133.0,158.0,8.0,145.0,249.0,136.0,66
175.0,118.0,177.0,91.0,57.0,7.0,235.0,225
102.0,194.0,241.0,53.0,192.0,226.0,18.0,4
190.0,151.0,253.0,78.0,228.0,44.0,226.0,128
177.0,143.0,24.0,142.0,9.0,6.0,150.0,28
240.0,159.0,214.0,33.0,167.0,4.0,207.0,180
28.0,155.0,52.0,9.0,23.0,131.0,137.0,244
66.0,35.0,212.0,222.0,245.0,83.0,70.0,8
232.0,200.0,51.0,113.0,34.0,153.0,14.0,120
208.0,168.0,246.0,45.0,43.0,18.0,223.0,188
52.0,136.0,11.0,189.0,69.0,191.0,133.0,223
132.0,60.0,77.0,45.0,160.0,205.0,210.0,168
229.0,145.0,146.0,211.0,155.0,11.0,18.0,26
183.0,173.0,11.0,74.0,170.0,201.0,68.0,9
6.0,245.0,220.0,104.0,64.0,123.0,98.0,162
162.0,215.0,172.0,175.0,221.0,60.0,182.0,35
49.0,63.0,128.0,68.0,139.0,184.0,47.0,64
30.0,161.0,191.0,76.0,164.0,31.0,221.0,4
,26.0,221.0,183.0,243.0,59.0,84.0,12
,97.0,131.0,134.0,212.0,237.0,240.0,73
,1.0,58.0,64.0,209.0,173.0,62.0,112
,112.0,20.0,26.0,229.0,124.0,91.0,151
,155.0,101.0,13.0,224.0,165.0,156.0,190
,88.0,114.0,235.0,220.0,15.0,61.0,238
,170.0,195.0,202.0,51.0,227.0,139.0,167
,175.0,126.0,137.0,88.0,119.0,133.0,189
,99.0,131.0,228.0,177.0,211.0,137.0,214
,49.0,85.0,151.0,243.0,56.0,84.0,66
,45.0,73.0,176.0,116.0,94.0,246.0,186
,119.0,68.0,95.0,59.0,11.0,133.0,226
,158.0,255.0,201.0,153.0,75.0,220.0,189
,12.0,85.0,127.0,219.0,20.0,59.0,8
,9.0,208.0,184.0,48.0,132.0,198.0,62
,70.0,211.0,231.0,234.0,210.0,4.0,103
,220.0,40.0,250.0,213.0,156.0,217.0,12
,216.0,147.0,125.0,196.0,96.0,77.0,28
